TimeStamp,Latitude,Longitude,Altitude,PM25,RelativeHumidity,Temperature,vocIndex,noxIndex,ButtonPress,PressurehPa
01:57:15 30/01/0024,37.768375,-122.49475,37.599,2.8000,74.160,13.090,100.00,1.0000,0.0000,1014.9
01:57:15 30/01/0024,37.768375,-122.49475,37.599,2.8000,74.160,13.090,100.00,1.0000,0.0000,1014.9
01:57:17 30/01/0024,37.768314,-122.49487,38.099,2.8000,74.150,13.090,100.00,1.0000,0.0000,1014.9
01:57:17 30/01/0024,37.768314,-122.49487,38.099,2.8000,74.150,13.090,100.00,1.0000,0.0000,1014.9
01:57:18 30/01/0024,37.768276,-122.49493,38.099,2.8000,74.129,13.085,100.00,1.0000,0.0000,1014.9
01:57:18 30/01/0024,37.768276,-122.49493,38.099,2.8000,74.129,13.085,100.00,1.0000,0.0000,1014.9
01:57:20 30/01/0024,37.768181,-122.49504,38.500,2.8000,74.120,13.085,100.00,1.0000,0.0000,1014.9
01:57:20 30/01/0024,37.768181,-122.49504,38.500,2.8000,74.120,13.085,100.00,1.0000,0.0000,1014.9
01:57:22 30/01/0024,37.768082,-122.49513,38.700,2.7000,74.099,13.080,100.00,1.0000,0.0000,1014.9
01:57:22 30/01/0024,37.768082,-122.49513,38.700,2.7000,74.099,13.080,100.00,1.0000,0.0000,1014.9
01:57:23 30/01/0024,37.768028,-122.49517,38.700,2.6000,74.080,13.080,100.00,1.0000,0.0000,1014.9
01:57:23 30/01/0024,37.768028,-122.49517,38.700,2.6000,74.080,13.080,100.00,1.0000,0.0000,1014.9
01:57:25 30/01/0024,37.767918,-122.49523,38.799,2.6000,74.070,13.075,100.00,1.0000,0.0000,1014.9
01:57:25 30/01/0024,37.767918,-122.49523,38.799,2.6000,74.070,13.075,100.00,1.0000,0.0000,1014.9
01:57:26 30/01/0024,37.767857,-122.49524,38.799,2.5000,74.059,13.075,100.00,1.0000,0.0000,1014.9
01:57:26 30/01/0024,37.767857,-122.49524,38.799,2.5000,74.059,13.075,100.00,1.0000,0.0000,1014.9
01:57:28 30/01/0024,37.767735,-122.49527,38.700,2.5000,74.029,13.075,100.00,1.0000,0.0000,1014.9
01:57:28 30/01/0024,37.767735,-122.49527,38.700,2.5000,74.029,13.075,100.00,1.0000,0.0000,1014.9
01:57:30 30/01/0024,37.767612,-122.49525,38.700,2.5000,74.000,13.070,100.00,1.0000,0.0000,1014.9
01:57:30 30/01/0024,37.767612,-122.49525,38.700,2.5000,74.000,13.070,100.00,1.0000,0.0000,1014.9
01:57:31 30/01/0024,37.767551,-122.49524,38.900,2.5000,74.000,13.070,100.00,1.0000,0.0000,1014.9
01:57:31 30/01/0024,37.767551,-122.49524,38.900,2.5000,74.000,13.070,100.00,1.0000,0.0000,1014.9
01:57:33 30/01/0024,37.767437,-122.49519,39.000,2.5000,74.019,13.070,100.00,1.0000,0.0000,1014.9
01:57:33 30/01/0024,37.767437,-122.49519,39.000,2.5000,74.019,13.070,100.00,1.0000,0.0000,1014.9
01:57:34 30/01/0024,37.767376,-122.49517,39.000,2.6000,74.099,13.070,100.00,1.0000,0.0000,1014.9
01:57:34 30/01/0024,37.767376,-122.49517,39.000,2.6000,74.099,13.070,100.00,1.0000,0.0000,1014.9
01:57:36 30/01/0024,37.767273,-122.49509,38.799,2.5000,74.150,13.070,100.00,1.0000,0.0000,1014.9
01:57:36 30/01/0024,37.767273,-122.49509,38.799,2.5000,74.150,13.070,100.00,1.0000,0.0000,1014.9
01:57:37 30/01/0024,37.767227,-122.49504,39.200,2.5000,74.269,13.065,99.000,1.0000,0.0000,1014.9
01:57:37 30/01/0024,37.767227,-122.49504,39.200,2.5000,74.269,13.065,99.000,1.0000,0.0000,1014.9
01:57:39 30/01/0024,37.767128,-122.49492,38.900,3.1000,74.309,13.065,99.000,1.0000,0.0000,1014.9
01:57:39 30/01/0024,37.767128,-122.49492,38.900,3.1000,74.309,13.065,99.000,1.0000,0.0000,1014.9
01:57:41 30/01/0024,37.767056,-122.49479,38.700,4.0000,74.379,13.065,99.000,1.0000,0.0000,1014.9
01:57:41 30/01/0024,37.767056,-122.49479,38.700,4.0000,74.379,13.065,99.000,1.0000,0.0000,1014.9
01:57:42 30/01/0024,37.767029,-122.49472,38.700,4.3000,74.400,13.065,99.000,1.0000,0.0000,1014.9
01:57:42 30/01/0024,37.767029,-122.49472,38.700,4.3000,74.400,13.065,99.000,1.0000,0.0000,1014.9
01:57:44 30/01/0024,37.766991,-122.49456,38.500,4.3000,74.389,13.065,99.000,1.0000,0.0000,1014.9
